,BrandClean,Recycled,Quantity,BottleType,Weight,Colour,Alcohol,SupplierCity,SupplierCountry,DestinationCity,DestinationCountry,Tonnage,Tonnage%PCR,Tonnage_PCR,SupLat,SupLong,DestLat,DestLong,ProductCode/SKU,Product name,Brand,Distance_km,EmissionFactor,Carbon_Impact_kgCO2,Carbon_Impact_tCO2,Brand_Carbon_Impact_t,Emission_Category
2181,Royal Stag,0.35,297080.0,37.5,280,Flint,Whisky,KOLKATA,INDIA,Hoogly,INDIA,83.1824,29.11384,29.11384,22.5726459,88.3638953,22.545643,88.31298178159038,BTRSPOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_375ml,ROYAL STAG,6.029013054053441,0.15,75.23,0.08,8615.19,Very High
2182,Havana Club,0.13,297000.0,75.0,500,FLINT,RUM,VENDA NOVA,PORTUGAL,MAYABEQUE,CUBA,148.5,19.305,19.305,38.6773855,-8.4552427,22.82541565,-82.07010620179815,BOT075BB0,BOTELLA BLANCA 75 CL STANDARD,HAVANA CLUB,7066.5190302139345,0.02,20987.56,20.99,470.94,Very High
2183,Royal Stag,0.15,296784.0,37.5,280,Flint,Whisky,BAHADURGARH,INDIA,Karnal ,INDIA,83.09952,12.464928,12.464928,28.6933239,76.9332373,29.6803266,76.9896254,BTRSPOSC12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,109.88611452825249,0.15,1369.72,1.37,8615.19,Very High
2184,Imperial Blue,0.287,296688.0,75.0,400,FLINT,WHISKY,AURANGABAD,INDIA,Gwalior,INDIA,118.6752,34.0597824,34.059782399999996,24.7536696,84.3746725,26.2037247,78.1573628,BTIBQOSE08,GLASS BOTTLE_IMPERIAL BLUE_750ml,IMPERIAL BLUE,644.5078354730117,0.15,11473.06,11.47,5136.66,Very High
2185,Royal Stag,100.0,296625.0,18.0,170,Flint,Whisky,DELHI,INDIA,Daurala,INDIA,50.42625,0.0,5042.625,28.6138954,77.2090057,27.481205,77.0634698,BTRSNGEN29,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,126.75657659806053,0.15,958.78,0.96,8615.19,Very High
2186,Royal Stag,0.15,296576.0,75.0,485,Flint,Whisky,BAHADURGARH,INDIA,Karnal ,INDIA,143.83936,21.575904,21.575904,28.6933239,76.9332373,29.6803266,76.9896254,BTRSQGEN12,GLASS BOTTLE_ROYAL STAG_750ml,ROYAL STAG,109.88611452825249,0.15,2370.89,2.37,8615.19,Very High
2187,Imperial Blue,0.3,296280.0,75.0,400,FLINT,WHISKY,FIROZABAD,INDIA,Derabassi,INDIA,118.512,35.5536,35.553599999999996,27.1527986,78.3991439,30.5964,76.8433,BTIBQOSC08,GLASS BOTTLE_IMPERIAL BLUE_750ml,IMPERIAL BLUE,411.7739228089957,0.15,7320.02,7.32,5136.66,Very High
2188,Royal Stag,0.296,296226.0,37.5,280,Flint,Whisky,HYDERABAD,INDIA,Hyderabad,INDIA,82.94328,24.55121088,24.55121088,17.360589,78.4740613,17.360589,78.4740613,BTRSPGEN12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,0.0,0.15,0.0,0.0,8615.19,Very High
2189,Imperial Blue,0.296,296160.0,37.5,240,FLINT,WHISKY,HYDERABAD,INDIA,Hyderabad,INDIA,71.0784,21.0392064,21.0392064,17.360589,78.4740613,17.360589,78.4740613,BTIBPOSC07,GLASS BOTTLE_IMPERIAL BLUE_375ml,IMPERIAL BLUE,0.0,0.15,0.0,0.0,5136.66,Very High
2190,Hiram Walker,0.142,295680.0,75.0,396,FLINT,LIQUOR,"WINCHESTER, IN",USA,FORT SMITH,USA,117.3672192,16.67594645,16.666145126399996,41.95827185,-73.05084571815084,35.3083112,-94.32888672060204,BCC1504741,BC 33C1 CORD 750X12 FLT 23 ARD,HW LIQUEURS,1983.9645770804607,0.05,11642.62,11.64,19.63,Medium-High
